feature,importance
follows_back,0.18352216557605225
weight_in_plus_weight_out,0.13584880176271866
weight_in_mul_weight_out,0.10311826419965042
weight_in_plus_weight_out_2x,0.07098747936777486
src_out_degree,0.05601222450518984
weight_in_2x_plus_weight_out,0.05535180126900146
cosine_for_followers,0.043207314651152524
weight_out,0.03848144247852341
number_of_followees_s,0.03507184165336551
intersection_of_followers,0.03315092453508798
number_of_followers_d,0.030978364371083658
adar_for_followers,0.02989027117129898
jaccard_for_followers,0.02320632476325585
intersection_of_followees,0.021507751518618404
dist_in_degree,0.020520181597574325
weight_in,0.01979515061695077
number_of_followees_d,0.01413889209008591
cosine_for_followees,0.013399719845263707
adar_for_followees,0.013235996529500898
number_of_followers_s,0.012872276917358686
jaccard_for_followees,0.011837520931035721
dist_weight_out,0.006853755428875158
dist_out_degree,0.0066452864956344174
src_in_degree,0.005919659586546727
src_weight_in,0.004510389072093497
pagerank_dst,0.002244365225605005
dist_katz,0.001886803016949867
dist_pagerank,0.0015862657848556875
katz_src,0.0011236420148608322
src_katz,0.0010376127564500361
katz_dst,0.0009957999710213388
pagerank_src,0.0002454066461159141
src_pagerank,0.00020205173338923996
hubs_src,9.996579255325944e-05
hubs_dst,9.859966039749074e-05
src_hubs,9.574956256919507e-05
dist_hubs,9.312678891044096e-05
authorities_dst,7.257043115261957e-05
dist_auth,6.853395705295779e-05
authorities_src,4.559687849798534e-05
src_auth,4.010884592474762e-05
shortest_path_length,0.0
